district,freq,strategy,gi_tons,steady_rat
MN11,3,PM,157.3309573754084,15941.21191022567
MN01,3,PM,282.0713348627393,16927.530405532252
MN10,2,PM,229.25368074702365,16609.935775080907
MN02,2,PM,249.28710037252972,16742.69406271139
MN03,2,AM,474.8708774440682,17566.83857780522
MN08,2,PM,212.3967924568013,16483.70771821213
MN07,2,PM,225.6414903991189,16584.09361989526
MN06,3,AM,168.71412221684363,16073.88319589722
MN04,2,AM,224.6920491935541,16577.19650869656
MN09,2,PM,274.3222991602299,16886.99829337434
MN12,2,PM,210.51446972407564,16468.67460828432
MN05,2,AM,181.7048527069785,16210.607343329219
